Dimitry,chicken quesadilla 
Halimeda,bibimbap 
Pansy,panna cotta 
Missy,escargots 
Tarrance,shrimp and grits 
Lacee,creme brulee 
Sutherlan,breakfast burrito 
Lexie,eggs benedict 
Simonette,bruschetta 
Bertie,ramen 
Elbertina,onion rings 
Sebastian,huevos rancheros 
Fredelia,eggs benedict 
Willis,foie gras 
Fitzgerald,garlic bread 
Daisie,prime rib 
Stacey,sushi 
Millicent,creme brulee 
Bertie,strawberry shortcake 
Curtice,pulled pork sandwich 
Bertina,sashimi 
Oralla,gyoza 
Jeffry,omelette 
Lauretta,peking duck 
Shauna,frozen yogurt 
Ilysa,pad thai 
Lewes,spaghetti bolognese 
Toddy,caprese salad 
Tadeo,samosa 
Kelsey,beef tartare 
Haily,french toast 
Caressa,guacamole 
Sebastian,ravioli 
Elwin,hamburger 
Perry,chicken curry 
Gris,peking duck 
Deeanne,bruschetta 
Davy,mussels 
Selene,lobster bisque 
Adlai,fish and chips 
Chance,greek salad 
Parsifal,cheese plate 
Tanya,breakfast burrito 
Dickie,samosa 
Zebulon,creme brulee 
Lula,chocolate mousse 
Ertha,ravioli 
Charis,bread pudding 
Claudina,poutine 
Lanette,hot dog 
Alisander,french fries 
Shandy,pork chop 
Wenda,ramen 
Northrop,nachos 
Codie,cheese plate 
Cathee,ice cream 
Maye,greek salad 
Franklyn,macarons 
Henrietta,crab cakes 
Rachel,huevos rancheros 
Ev,fried calamari 
Nessi,strawberry shortcake 
Rollie,frozen yogurt 
Menard,chicken curry 
Ralf,poutine 
Alvinia,macarons 
Stacey,apple pie 
Gunner,hot dog 
Tabor,french fries 
Derron,strawberry shortcake 
Cassandra,pork chop 
Ebeneser,poutine 
Fredia,hot dog 
Maison,guacamole 
Betty,chocolate cake 
Faber,scallops 
Maye,baby back ribs 
Daphne,gnocchi 
Chance,sushi 
Ashby,baklava 
Tabor,mussels 
Valry,donuts 
Pammi,grilled cheese sandwich 
Rollo,filet mignon 
Kayley,pizza 
